index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
8232,GoFundMe,1250421,1230375,link,50,4,5,61,"QUANTITY,DATE,PERSON,GPE",0,1680,4545,9,2,3.894655587298634e-05,0.3090435564517975,9.34155104026561e-05,3.544073742117997e-05,0.2470739781856537,0.2597186863422394,7.085755410518992e-05,5.807371096420603e-05,8.503658371296498e-05,4.349358840392105e-05,0.12048505246639252
8233,GoFundMe,1250421,1230375,link,71,30,45,212,"CARDINAL,DATE,PERSON,GPE",0,1680,4545,14,127,6.961891340971238e-05,6.549624945555792e-05,4.1302636754127736e-05,8.390245048997045e-05,2.3319199578498067e-05,3.346422349814014e-05,4.800429971756537e-05,0.1426541656255722,0.6192810535430908,8.845002396257962e-05,0.19258616864681244
8234,Indiegogo,523736,524647,video,44,30,43,9559,"ORG,DATE",0,1680,5303,7,2,0.012992244213819504,0.15883801877498627,0.5504854321479797,0.012992345727980137,0.012991671450436115,0.012992258183658123,0.012991342693567276,0.012991451658308506,0.012991984374821186,0.18674170970916748,0.012991559691727161
8235,Kickstarter,1563361,1534290,link,39,18,11,39,ORG,0,1680,4839,0,0,3.816012750397786e-05,9.837105651194266e-05,2.760437786194505e-05,7.265820728745174e-05,8.945096045226884e-05,0.19702914357185364,8.51959941349423e-05,1.3317904134243935e-05,0.7639941573143005,3.035526239342523e-05,7.859152239972399e-05
8236,GoFundMe,1250421,1230375,link,92,12,20,129,MONEY,0,1680,4545,37,0,0.5782354474067688,1.3288038088334989e-05,8.738940964037109e-05,3.398255092887029e-05,4.089343358328878e-05,0.20661363005638123,2.6067090485298094e-05,0.16318759322166443,6.564711513941148e-05,6.383480875203013e-05,4.378896834014892e-05
8237,Indiegogo,523736,524647,video,6,5,0,7,"ORG,WORK_OF_ART,DATE,PERSON",0,1681,5303,0,1,0.5368556976318359,6.416148187313005e-05,0.08371805399656296,9.627841965680094e-05,3.4326277136943355e-05,0.15108701586723328,0.17935270071029663,4.231485432503856e-05,6.186584685196172e-05,7.274533952078925e-05,7.113467455053686e-05
8238,GoFundMe,1249645,1229621,link,137,8,19,184,DATE,0,1681,4545,47,0,0.36860793828964233,3.3307423865938304e-05,3.437552089184116e-05,2.6297342169287488e-05,0.09655836224555969,0.3076218068599701,0.09094049036502838,0.09078874439001083,3.140376145875019e-05,3.178502181045414e-05,7.734040893501115e-05
8239,Indiegogo,523668,524581,link,27,9,11,30,ORG,0,1681,5303,2,1,0.4486975073814392,0.13853095471858978,9.085487008611125e-05,3.1442296056758456e-05,9.112437823098225e-05,0.10894343256950378,1.1609973523451811e-05,2.1241965929499372e-05,5.198845582709316e-05,0.276131272315979,6.830347914080548e-05
8240,GoFundMe,1249645,1229621,link,128,24,13,173,"ORG,MONEY,PERSON",0,1681,4545,41,4,0.16865158081054688,5.258412676473139e-05,3.391283502069664e-05,3.1930301929544694e-05,9.337006012150742e-05,0.7683969140052795,2.7563131459466448e-05,4.2265262646536006e-05,9.634783474853175e-05,7.181549147675888e-05,5.4042276817511576e-05
8241,Kickstarter,1563286,1534217,link,17,6,6,20,"CARDINAL,DATE",0,1681,4839,3,0,0.01299294363707304,0.012992046773433685,0.012992842122912407,0.012992078438401222,0.012992390431463718,0.012992535717785358,0.4962679445743561,0.012991994619369507,0.01299294363707304,0.3868005573749542,0.01299172081053257
